frame,reg,value
1322,7,241
1322,0,241
1324,14,240
1324,7,240
1324,0,240
1330,14,241
1330,7,241
1330,0,241
1332,14,240
1332,7,240
1332,0,240
1338,14,241
1338,7,241
1338,0,241
1340,14,240
1340,7,240
1340,0,240
1346,14,241
1346,7,241
1346,0,241
1348,14,240
1348,7,240
1348,0,240
1354,14,241
1354,7,241
1354,0,241
1356,14,240
1356,7,240
1356,0,240
1362,14,241
1362,7,241
1362,0,241
1364,14,240
1364,7,240
1364,0,240
1370,14,241
1370,7,241
1370,0,241
1372,14,240
1372,7,240
1372,0,240
1378,14,241
1378,7,241
1378,0,241
1380,14,240
1380,7,240
1380,0,240
1386,14,241
1386,7,241
1386,0,241
1388,14,240
1388,7,240
1388,0,240
1394,14,241
1394,7,241
1394,0,241
1396,14,240
1396,7,240
1396,0,240
1402,14,241
1402,7,241
1402,0,241
1404,14,240
1404,7,240
1404,0,240
1410,14,241
1410,7,241
1410,0,241
1412,14,240
1412,7,240
1412,0,240
1418,14,241
1418,7,241
1418,0,241
1420,14,240
1420,7,240
1420,0,240
1426,14,241
1426,7,241
1426,0,241
1428,14,240
1428,7,240
1428,0,240
1434,14,241
1434,7,241
1434,0,241
1436,14,240
1436,7,240
1436,0,240
1442,14,241
1442,7,241
1442,0,241
1444,14,240
1444,7,240
1444,0,240
1450,14,241
1450,7,241
1450,0,241
1452,14,240
1452,7,240
1452,0,240
1458,14,241
1458,7,241
1458,0,241
1460,14,240
1460,7,240
1460,0,240
1466,14,241
1466,7,241
1466,0,241
1468,14,240
1468,7,240
1468,0,240
1474,14,241
1474,7,241
1474,0,241
1476,14,240
1476,7,240
1476,0,240
1482,14,241
1482,7,241
1482,0,241
1484,14,240
1484,7,240
1484,0,240
1490,14,241
1490,7,241
1490,0,241
1492,14,240
1492,7,240
1492,0,240
1498,14,241
1498,7,241
1498,0,241
