frame,reg,value
919,22,131
920,22,133
921,22,135
924,22,137
925,22,139
926,22,141
927,22,143
928,22,145
931,22,147
932,22,149
933,22,151
934,22,153
935,22,155
938,22,157
939,22,159
940,22,161
941,22,163
942,22,165
945,22,167
946,22,169
947,22,171
948,22,173
949,22,175
952,22,177
953,22,179
954,22,181
955,22,183
956,22,185
959,22,187
960,22,189
961,22,191
962,22,193
963,22,195
966,22,197
967,22,199
968,22,201
969,22,203
970,22,205
973,22,207
974,22,209
975,22,211
976,22,213
977,22,215
980,22,217
981,22,219
982,22,221
983,22,223
984,22,225
987,22,227
988,22,229
989,22,231
990,22,233
991,22,235
994,22,237
995,22,239
996,22,241
997,22,243
998,22,245
1001,22,247
1002,22,249
1003,22,251
1004,22,253
1005,22,255
1008,22,1
1009,22,3
1010,22,5
1011,22,7
1012,22,9
1015,22,11
1016,22,13
1017,22,15
1018,22,17
1019,22,19
1022,22,21
1023,22,23
1024,22,25
1025,22,27
1026,22,29
1029,22,31
1030,22,33
1031,22,35
1032,22,37
1033,22,39
1036,22,41
1037,22,43
1038,22,45
1039,22,47
1040,22,49
1043,22,51
1044,22,53
1045,22,55
1046,22,57
1047,22,59
1050,22,61
1051,22,63
1052,22,65
1053,22,67
1054,22,69
1057,22,71
1058,22,73
1059,22,75
1060,22,77
1061,22,79
1064,22,81
1065,22,83
1066,22,85
1067,22,87
1068,22,89
1071,22,91
1072,22,93
1073,22,95
1074,22,97
1075,22,99
1078,22,101
1079,22,103
1080,22,105
1081,22,107
1082,22,109
1085,22,111
1086,22,113
1087,22,115
1088,22,117
1089,22,119
1092,22,121
1093,22,123
1094,22,125
1095,22,127
1096,22,129
1099,22,131
1100,22,133
1101,22,135
1102,22,137
1103,22,139
1106,22,141
1107,22,143
1108,22,145
1109,22,147
1110,22,149
1113,22,151
1114,22,153
1115,22,155
1116,22,157
1117,22,159
1120,22,161
1121,22,163
1122,22,165
1123,22,167
1124,22,169
1127,22,171
1128,22,173
1129,22,175
1130,22,177
1131,22,179
1134,22,181
1135,22,183
1136,22,185
1137,22,187
1138,22,189
1141,22,191
1142,22,193
1143,22,195
1144,22,197
1145,22,199
1148,22,201
1149,22,203
1150,22,205
1151,22,207
1152,22,209
1155,22,211
1156,22,213
1157,22,215
1158,22,217
1159,22,219
1162,22,221
1163,22,223
1164,22,225
1165,22,227
1166,22,229
1169,22,231
1170,22,233
1171,22,235
1172,22,237
1173,22,239
1176,22,241
1177,22,243
1178,22,245
1179,22,247
1180,22,249
1183,22,251
1184,22,253
1185,22,255
1186,22,1
1187,22,3
1190,22,5
1191,22,7
1192,22,9
1193,22,11
1194,22,13
1197,22,15
1198,22,17
1199,22,19
1200,22,21
1201,22,23
1204,22,25
1205,22,27
1206,22,29
1207,22,31
1208,22,33
1211,22,35
1212,22,37
1213,22,39
1214,22,41
1215,22,43
1218,22,45
1219,22,47
1220,22,49
1221,22,51
1222,22,53
1225,22,55
1226,22,57
1227,22,59
1228,22,61
1229,22,63
1232,22,65
1233,22,67
1234,22,69
1235,22,71
1236,22,73
1239,22,75
1240,22,77
1241,22,79
1242,22,81
1243,22,83
1246,22,85
1247,22,87
1248,22,89
1249,22,91
1250,22,93
1253,22,95
1254,22,97
1255,22,99
1256,22,101
1257,22,103
1260,22,105
1261,22,107
1262,22,109
1263,22,111
1264,22,113
1267,22,115
1268,22,117
1269,22,119
1270,22,121
1271,22,123
1274,22,125
1275,22,127
1276,22,129
1277,22,131
1278,22,133
1281,22,135
1282,22,137
1283,22,139
1284,22,141
1285,22,143
1288,22,145
1289,22,147
1290,22,149
1291,22,151
1292,22,153
1295,22,155
1296,22,157
1297,22,159
1298,22,161
1299,22,163
1302,22,165
1303,22,167
1304,22,169
1305,22,171
1306,22,173
1309,22,175
1310,22,177
1311,22,179
1312,22,181
1313,22,183
1316,22,185
1317,22,187
1318,22,189
1319,22,191
1320,22,193
1323,22,195
1324,22,197
1325,22,199
1326,22,201
1327,22,203
1330,22,205
1331,22,207
1332,22,209
1333,22,211
1334,22,213
1337,22,215
1338,22,217
1339,22,219
1340,22,221
1341,22,223
1344,22,225
1345,22,227
1346,22,229
1347,22,231
1348,22,233
1351,22,235
1352,22,237
1353,22,239
1354,22,241
1355,22,243
1358,22,245
1359,22,247
1360,22,249
1361,22,251
1362,22,253
1365,22,255
1366,22,1
1367,22,3
1368,22,5
1369,22,7
1372,22,9
1373,22,11
1374,22,13
1375,22,15
1376,22,17
1379,22,19
1380,22,21
1381,22,23
1382,22,25
1383,22,27
1386,22,29
1387,22,31
1388,22,33
1389,22,35
1390,22,37
1393,22,39
1394,22,41
1395,22,43
1396,22,45
1397,22,47
1400,22,49
1401,22,51
1402,22,53
1403,22,55
1404,22,57
1407,22,59
1408,22,61
1409,22,63
1410,22,65
1411,22,67
1414,22,69
1415,22,71
1416,22,73
1417,22,75
1418,22,77
1421,22,79
1422,22,81
1423,22,83
1424,22,85
1425,22,87
1428,22,89
1429,22,91
1430,22,93
1431,22,95
1432,22,97
1435,22,99
1436,22,101
1437,22,103
1438,22,105
